N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 14일 (Sat)
1#,[뉴스 정치]#,꽉 막힌 '토론회' 정국...이준석 리더십 주말 분수령#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001627422
2#,[뉴스 정치]#,'100% 지원금·황교익' 여진...여야 '이재명' 맹폭#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001627421
3#,[뉴스 정치]#,"""출렁이는 호남을 잡아라""...이재명·이낙연 호남 격돌#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001627420
4#,[뉴스 정치]#,꼬이고 엉킨 한일 매듭...임기 중 해법 '난망'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001627415
5#,[뉴스 정치]#,"문 대통령, 마지막 광복절 경축사...남북·대일 메시지 주목#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001627414
6#,[뉴스 경제]#,[BNPL이 뭐길래①] ‘디지털판 외상’에 뛰어드는 네이버·카카오·쿠팡#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=243&aid=0000015330
7#,[뉴스 경제]#,"로또 976회 당첨번호 조회 결과, '사실상 서울은 또 없다'#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000100682
8#,[뉴스 경제]#,[거리의 경제 8화] 월세 못올리니 주차비 내라? - '가격상한제'의 두 얼굴#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=214&aid=0001141984
9#,[뉴스 경제]#,우윳값 인상에 빵·과자도…밥상 물가 상승 번지나?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=214&aid=0001141981
10#,[뉴스 경제]#,"[포커스] 일주일새 7조 주식 판 외국인…셀 코리아, 왜 벌어지나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=448&aid=0000336687
11#,[뉴스 IT/과학]#,[단독] 카톡 코인 '클레이' 활용한 새 디파이 서비스 나온다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004591845
12#,[뉴스 IT/과학]#,석유전쟁? 지구 살리는 '수소전쟁' 벌어진다[과학을읽다]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=277&aid=0004953948
13#,[뉴스 IT/과학]#,“한 번 빠지면 벗어날 수 없다?” 매운맛 중독 괜찮나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001874626
14#,[뉴스 IT/과학]#,"출시 가시화되는 갤럭시A52S… 삼성, 하반기 중저가 시장 잡을까?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=277&aid=0004953942
15#,[뉴스 IT/과학]#,"""아이폰13에 노치 없애야""…'풀스크린' 경쟁에 머쓱한 애플#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004591840
16#,[뉴스 CNBC]#,How much your Social Security check may increase in 2022#,https://www.cnbc.com/2021/08/13/how-the-2022-cola-could-increase-social-security-benefits.html
17#,[뉴스 CNBC]#,The family that bet everything on bitcoin when it was $900 is now storing it in secret vaults#,https://www.cnbc.com/2021/08/11/bitcoin-family-hides-bitcoin-ethereum-and-litecoin-in-secret-vaults.html
18#,[뉴스 CNBC]#,Dr. Scott Gottlieb expects coronavirus to be an 'endemic' virus in U.S. after delta surge#,https://www.cnbc.com/2021/08/13/dr-scott-gottlieb-expects-coronavirus-to-be-an-endemic-virus-in-us-after-delta-surge.html
19#,[뉴스 CNBC]#,These are the 10 most expensive small towns in America#,https://www.cnbc.com/2021/08/12/these-are-the-10-most-expensive-small-towns-in-america.html
20#,[뉴스 CNBC]#,'Breaking society apart': Unvaccinated people are angry as they face more Covid restrictions#,https://www.cnbc.com/2021/08/13/unvaccinated-people-face-more-covid-restrictions-in-future.html
20#,[경제 환율]#,"1,169.00@5.50(+0.47%) 상승"
21#,[경제 나스닥]#,"14,822.90@6.64(+0.04%) 상승"
22#,[경제 SP]#,"4,468.00@7.17(+0.16%) 상승"
